Country_Code,Short_Name,Long_Name,2-alpha_code,Currency_Unit,Region,Income_Group,WB-2_code,National_accounts_base_year,National_accounts_reference_year,SNA_price_valuation,Lending_category,Other_groups,System_of_National_Accounts,Alternative_conversion_factor,PPP_survey_year,Balance_of_Payments_Manual_in_use,External_debt_Reporting_status,System_of_trade,Government_Accounting_concept,IMF_data_dissemination_standard,Latest_population_census,Latest_household_survey,Source_of_most_recent_Income_and_expenditure_data,Vital_registration_complete,Latest_agricultural_census,Latest_industrial_ data,Latest_trade_data,Latest_water_withdrawal_data
ECS,Europe & Central Asia (all income levels),Europe & Central Asia (all income levels),Z7,U.S. dollar,Latin America & Caribbean,Upper middle income,Z7,2007,2005,Value added at basic prices (VAB),IBRD,HIPC,Country uses the 2008 System of National Accounts methodology.,1987–95,2005,"IMF Balance of Payments Manual, 6th edition.",Actual,General trade system,Budgetary central government,Special Data Dissemination Standard (SDDS),2010,"Reproductive Health Survey (RHS), 2004","Integrated household survey (IHS), 2012",Yes,2013/15,2008,2012,2005
ECU,Ecuador,Republic of Ecuador,EC,U.S. dollar,Latin America & Caribbean,Upper middle income,EC,2007,2005,Value added at basic prices (VAB),IBRD,HIPC,Country uses the 2008 System of National Accounts methodology.,1987–95,2005,"IMF Balance of Payments Manual, 6th edition.",Actual,General trade system,Budgetary central government,Special Data Dissemination Standard (SDDS),2010,"Reproductive Health Survey (RHS), 2004","Integrated household survey (IHS), 2012",Yes,2013/15,2008,2012,2005
EGY,Egypt,Arab Republic of Egypt,EG,Egyptian pound,Middle East & North Africa,Lower middle income,EG,1991/92,2005,Value added at basic prices (VAB),IBRD,HIPC,Country uses the 1993 System of National Accounts methodology.,1987–95,2005,"IMF Balance of Payments Manual, 6th edition.",Actual,General trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),2006,"Demographic and Health Survey (DHS), 2008","Expenditure survey/budget survey (ES/BS), 2011",Yes,2009/2010,2010,2012,2000
EMU,Euro area,Euro area,XC,Eritrean nakfa,Sub-Saharan Africa,Low income,XC,2000,2005,Value added at basic prices (VAB),IDA,HIPC,Country uses the 1968 System of National Accounts methodology.,1987–95,Rolling,"IMF Balance of Payments Manual, 6th edition.",Estimate,Special trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),1984,"Demographic and Health Survey (DHS), 2002","Priority survey (PS), 1993",Yes,2010,2010,2003,2004
ERI,Eritrea,State of Eritrea,ER,Eritrean nakfa,Sub-Saharan Africa,Low income,ER,2000,2005,Value added at basic prices (VAB),IDA,HIPC,Country uses the 1968 System of National Accounts methodology.,1987–95,Rolling,"IMF Balance of Payments Manual, 6th edition.",Estimate,Special trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),1984,"Demographic and Health Survey (DHS), 2002","Priority survey (PS), 1993",Yes,2010,2010,2003,2004
ESP,Spain,Kingdom of Spain,ES,Euro,Europe & Central Asia,High income: OECD,ES,2005,2005,Value added at basic prices (VAB),IDA,Euro area,Country uses the 1993 System of National Accounts methodology.,1987–95,Rolling,"IMF Balance of Payments Manual, 6th edition.",Actual,Special trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),2011,"World Health Survey (WHS), 2003","Integrated household survey (IHS), 2000",Yes,2010,2009,2012,2008
EST,Estonia,Republic of Estonia,EE,Euro,Europe & Central Asia,High income: OECD,EE,2005,2005,Value added at basic prices (VAB),IDA,Euro area,Country uses the 1993 System of National Accounts methodology.,1987–95,Rolling,"IMF Balance of Payments Manual, 6th edition.",Actual,Special trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),2012,"World Health Survey (WHS), 2003","Expenditure survey/budget survey (ES/BS), 2004",Yes,2010,2010,2012,2007
ETH,Ethiopia,Federal Democratic Republic of Ethiopia,ET,Ethiopian birr,Sub-Saharan Africa,Low income,ET,2011,2005,Value added at basic prices (VAB),IDA,HIPC,Country uses the 1993 System of National Accounts methodology.,1993,2005,"IMF Balance of Payments Manual, 6th edition.",Actual,General trade system,Budgetary central government,General Data Dissemination System (GDDS),2007,"Demographic and Health Survey (DHS), 2011","Expenditure survey/budget survey (ES/BS), 2010/11",Yes,2010,2009,2012,2002
EUU,European Union,European Union,EU,Euro,Europe & Central Asia,High income: OECD,EU,2005,2005,Value added at basic prices (VAB),IBRD,Euro area,Country uses the 1993 System of National Accounts methodology.,1993,Rolling,"IMF Balance of Payments Manual, 6th edition.",Actual,General trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),2010,"Demographic and Health Survey (DHS), 2012","Income survey (IS), 2000",Yes,2010,2009,2012,2005
FIN,Finland,Republic of Finland,FI,Euro,Europe & Central Asia,High income: OECD,FI,2005,2005,Value added at basic prices (VAB),IBRD,Euro area,Country uses the 1993 System of National Accounts methodology.,1993,Rolling,"IMF Balance of Payments Manual, 6th edition.",Actual,General trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),2010,"Demographic and Health Survey (DHS), 2012","Income survey (IS), 2000",Yes,2010,2009,2012,2005
FJI,Fiji,Republic of Fiji,FJ,Fijian dollar,East Asia & Pacific,Upper middle income,FJ,2005,2005,Value added at basic prices (VAB),IBRD,Euro area,Country uses the 1993 System of National Accounts methodology.,1993,2005,"IMF Balance of Payments Manual, 6th edition.",Actual,General trade system,Budgetary central government,General Data Dissemination System (GDDS),2007,"Demographic and Health Survey (DHS), 2012","Expenditure survey/budget survey (ES/BS), 2009",Yes,2009,2009,2012,2000
FRA,France,French Republic,FR,Euro,Europe & Central Asia,High income: OECD,FR,Original chained constant price data are rescaled.,2005,Value added at basic prices (VAB),IDA,Euro area,Country uses the 1993 System of National Accounts methodology.,1993,Rolling,"IMF Balance of Payments Manual, 6th edition.",Actual,Special trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),2006. Rolling census based on continuous sample survey.,"Demographic and Health Survey (DHS), 2012","Expenditure survey/budget survey (ES/BS), 1994/95",Yes,2010,2009,2012,2007
FRO,Faeroe Islands,Faeroe Islands,FO,Danish krone,Europe & Central Asia,High income: nonOECD,FO,2004,1996,Value added at basic prices (VAB),IDA,HIPC,Country uses the 1993 System of National Accounts methodology.,1993,2005,"IMF Balance of Payments Manual, 6th edition.",Actual,General trade system,Consolidated central government,General Data Dissemination System (GDDS),2011,"Demographic and Health Survey (DHS), 2012","Integrated household survey (IHS), 2000",Yes,2010,2009,2009,2005
FSM,Micronesia,Federated States of Micronesia,FM,U.S. dollar,East Asia & Pacific,Lower middle income,FM,2004,1996,Value added at basic prices (VAB),IDA,HIPC,Country uses the 1993 System of National Accounts methodology.,1993,2005,"IMF Balance of Payments Manual, 6th edition.",Actual,Special trade system,Consolidated central government,General Data Dissemination System (GDDS),2010,"Demographic and Health Survey (DHS), 2012","Integrated household survey (IHS), 2000",Yes,2010,2009,2009,2005
GAB,Gabon,Gabonese Republic,GA,CFA franc,Sub-Saharan Africa,Upper middle income,GA,1991,1996,Value added at producer prices (VAP),IBRD,HIPC,Country uses the 1993 System of National Accounts methodology.,1993,2005,"IMF Balance of Payments Manual, 6th edition.",Actual,Special trade system,Consolidated central government,General Data Dissemination System (GDDS),2013,"Demographic and Health Survey (DHS), 2012","Core Welfare Indicator Questionnaire Survey (CWIQ)/Integrated household survey (IHS), 2005",Yes,2010,2009,2009,2005
GBR,United Kingdom,United Kingdom of Great Britain and Northern Ireland,GB,Pound sterling,Europe & Central Asia,High income: OECD,GB,2005,1996,Value added at basic prices (VAB),IBRD,HIPC,Country uses the 1993 System of National Accounts methodology.,1990–95,Rolling,"IMF Balance of Payments Manual, 6th edition.",Actual,General trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),2011,"Multiple Indicator Cluster Survey (MICS), 2005; Reproductive Health Survey (RHS), 2005","Income survey (IS), 1999",Yes,2010,2009,2012,2007
GEO,Georgia,Georgia,GE,Georgian lari,Europe & Central Asia,Lower middle income,GE,Original chained constant price data are rescaled.,1996,Value added at basic prices (VAB),IBRD,HIPC,Country uses the 1993 System of National Accounts methodology.,1990–95,2005,"IMF Balance of Payments Manual, 6th edition.",Actual,General trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),2002,"Multiple Indicator Cluster Survey (MICS), 2005; Reproductive Health Survey (RHS), 2005","Integrated household survey (IHS), 2011",Yes,2013/ 2014,2010,2012,2005
GHA,Ghana,Republic of Ghana,GH,New Ghanaian cedi,Sub-Saharan Africa,Lower middle income,GH,2006,2005,Value added at basic prices (VAB),IDA,HIPC,Country uses the 1993 System of National Accounts methodology.,1973–87,2005,"IMF Balance of Payments Manual, 6th edition.",Preliminary,General trade system,Budgetary central government,General Data Dissemination System (GDDS),2010,"Multiple Indicator Cluster Survey (MICS), 2011","Living Standards Measurement Study Survey (LSMS), 2005/06",Yes,2013/ 2014,2003,2012,2000
GIB,Gibraltar,Gibraltar,GI,Gibraltar pound,Sub-Saharan Africa,Low income,GI,2003,2005,Value added at basic prices (VAB),IDA,HIPC,Country uses the 1968 System of National Accounts methodology.,1965–84,2005,"IMF Balance of Payments Manual, 6th edition.",Estimate,Special trade system,Budgetary central government,General Data Dissemination System (GDDS),2012,"Demographic and Health Survey (DHS), 2012","Core Welfare Indicator Questionnaire Survey (CWIQ), 2012",Yes,2009,2004,2008,2001
GIN,Guinea,Republic of Guinea,GN,Guinean franc,Sub-Saharan Africa,Low income,GN,2003,2005,Value added at basic prices (VAB),IDA,HIPC,Country uses the 1993 System of National Accounts methodology.,1965–84,2005,"IMF Balance of Payments Manual, 6th edition.",Estimate,Special trade system,Budgetary central government,General Data Dissemination System (GDDS),1996,"Demographic and Health Survey (DHS), 2012","Core Welfare Indicator Questionnaire Survey (CWIQ), 2012",Yes,2009,2004,2008,2001
GMB,The Gambia,Republic of The Gambia,GM,Gambian dalasi,Sub-Saharan Africa,Low income,GM,2004,2005,Value added at producer prices (VAP),IDA,HIPC,Country uses the 1993 System of National Accounts methodology.,1965–84,2005,"IMF Balance of Payments Manual, 6th edition.",Actual,General trade system,Budgetary central government,General Data Dissemination System (GDDS),2013,"Demographic and Health Survey (DHS), 2013","Integrated household survey (IHS), 2010",Yes,2009,2004,2011,2000
GNB,Guinea-Bissau,Republic of Guinea-Bissau,GW,CFA franc,Sub-Saharan Africa,Low income,GW,2005,2005,Value added at basic prices (VAB),IDA,HIPC,Country uses the 1993 System of National Accounts methodology.,1965–84,2005,"IMF Balance of Payments Manual, 6th edition.",Estimate,General trade system,Budgetary central government,General Data Dissemination System (GDDS),2009,"Multiple Indicator Cluster Survey (MICS), 2010","Core Welfare Indicator Questionnaire Survey (CWIQ), 2010",Yes,2009,2007,2005,2000
GNQ,Equatorial Guinea,Republic of Equatorial Guinea,GQ,CFA franc,Sub-Saharan Africa,High income: nonOECD,GQ,2006,2005,Value added at basic prices (VAB),IBRD,Euro area,Country uses the 1968 System of National Accounts methodology.,1965–84,2005,"IMF Balance of Payments Manual, 6th edition.",Actual,General trade system,Budgetary central government,Special Data Dissemination Standard (SDDS),2002,"Demographic and Health Survey (DHS), 2011","Priority survey (PS), 2006",Yes,2009,2007,2012,2000
GRC,Greece,Hellenic Republic,GR,Euro,Europe & Central Asia,High income: OECD,GR,Original chained constant price data are rescaled.,2005,Value added at basic prices (VAB),Blend,Euro area,Country uses the 1993 System of National Accounts methodology.,1988–89,Rolling,"IMF Balance of Payments Manual, 6th edition.",Actual,Special trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),2011,"Reproductive Health Survey (RHS), 1985","Integrated household survey (IHS), 2000",Yes,2009,2007,2012,2007
GRD,Grenada,Grenada,GD,East Caribbean dollar,Latin America & Caribbean,Upper middle income,GD,2006,2012,Value added at basic prices (VAB),Blend,HIPC,Country uses the 1968 System of National Accounts methodology.,1988–89,2005,"IMF Balance of Payments Manual, 6th edition.",Actual,Special trade system,Budgetary central government,General Data Dissemination System (GDDS),2011,"Reproductive Health Survey (RHS), 1985","Living Standards Measurement Study Survey (LSMS), 2011",Yes,2012,2010,2009,2005
GRL,Greenland,Greenland,GL,Danish krone,Europe & Central Asia,High income: nonOECD,GL,1990,2012,Value added at basic prices (VAB),IBRD,HIPC,Country uses the 1993 System of National Accounts methodology.,1988–89,2005,"IMF Balance of Payments Manual, 6th edition.",Estimate,General trade system,Budgetary central government,General Data Dissemination System (GDDS),2010,"Reproductive Health Survey (RHS), 2008/09","Living Standards Measurement Study Survey (LSMS), 2011",Yes,2013,2010,2012,2006
GTM,Guatemala,Republic of Guatemala,GT,Guatemalan quetzal,Latin America & Caribbean,Lower middle income,GT,2001,2012,Value added at basic prices (VAB),IBRD,HIPC,Country uses the 1993 System of National Accounts methodology.,1988–89,2005,"IMF Balance of Payments Manual, 6th edition.",Estimate,Special trade system,Budgetary central government,General Data Dissemination System (GDDS),2002,"Reproductive Health Survey (RHS), 2008/09","Living Standards Measurement Study Survey (LSMS), 2011",Yes,2013,2010,2012,2006
GUM,Guam,Guam,GU,U.S. dollar,East Asia & Pacific,High income: nonOECD,GU,2006,2012,Value added at basic prices (VAB),IDA,HIPC,Country uses the 1993 System of National Accounts methodology.,1988–89,2005,"IMF Balance of Payments Manual, 6th edition.",Actual,General trade system,Consolidated central government,General Data Dissemination System (GDDS),2010,"Demographic and Health Survey (DHS), 2009","Integrated household survey (IHS), 1998",Yes,2007,2010,2012,2000
GUY,Guyana,Co-operative Republic of Guyana,GY,Guyana dollar,Latin America & Caribbean,Lower middle income,GY,2006,2012,Value added at basic prices (VAB),IDA,HIPC,Country uses the 1993 System of National Accounts methodology.,1988–89,2005,"IMF Balance of Payments Manual, 6th edition.",Actual,Special trade system,Consolidated central government,General Data Dissemination System (GDDS),2012,"Demographic and Health Survey (DHS), 2009","Integrated household survey (IHS), 1998",Yes,2013,2010,2012,2000
HIC,High income,High income,XD,Hong Kong dollar,East Asia & Pacific,High income: nonOECD,XD,Original chained constant price data are rescaled.,2012,Value added at basic prices (VAB),IDA,HIPC,Country uses the 2008 System of National Accounts methodology.,1988–89,2005,"IMF Balance of Payments Manual, 6th edition.",Actual,General trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),"2011. The population censuses for 1986 and 1996 were based on a one-in-seven sample of the population, while that for 2006 was based on a one-in-ten sample of the population.","Demographic and Health Survey (DHS), 2011/12","Integrated household survey (IHS), 2010",Yes,2013,2010,2012,2006
HKG,"Hong Kong SAR, China",Hong Kong Special Administrative Region of the People's Republic of China,HK,Hong Kong dollar,East Asia & Pacific,High income: nonOECD,HK,Original chained constant price data are rescaled.,2012,Value added at basic prices (VAB),IDA,HIPC,Country uses the 2008 System of National Accounts methodology.,1988–89,2005,"IMF Balance of Payments Manual, 6th edition.",Actual,General trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),"2011. The population censuses for 1986 and 1996 were based on a one-in-seven sample of the population, while that for 2006 was based on a one-in-ten sample of the population.","Demographic and Health Survey (DHS), 2011/12","Integrated household survey (IHS), 2010",Yes,2013,2010,2012,2006
HND,Honduras,Republic of Honduras,HN,Honduran lempira,Latin America & Caribbean,Lower middle income,HN,2000,2005,Value added at basic prices (VAB),IDA,HIPC,Country uses the 1993 System of National Accounts methodology.,1988–89,Rolling,"IMF Balance of Payments Manual, 6th edition.",Actual,Special trade system,Consolidated central government,General Data Dissemination System (GDDS),2013,"Demographic and Health Survey (DHS), 2011/12","Integrated household survey (IHS), 2010",Yes,2013,2009,2012,2006
HPC,Heavily indebted poor countries (HIPC),Heavily indebted poor countries (HIPC),XE,Croatian kuna,Europe & Central Asia,High income: nonOECD,XE,Original chained constant price data are rescaled.,2005,Value added at basic prices (VAB),IBRD,HIPC,Country uses the 1993 System of National Accounts methodology.,1991,Rolling,"IMF Balance of Payments Manual, 6th edition.",Actual,General trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),2011,"World Health Survey (WHS), 2003","Expenditure survey/budget survey (ES/BS), 2008",Yes,2010,2009,2012,2010
HRV,Croatia,Republic of Croatia,HR,Croatian kuna,Europe & Central Asia,High income: nonOECD,HR,Original chained constant price data are rescaled.,2005,Value added at basic prices (VAB),IBRD,HIPC,Country uses the 1993 System of National Accounts methodology.,1991,Rolling,"IMF Balance of Payments Manual, 6th edition.",Actual,General trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),2011,"World Health Survey (WHS), 2003","Expenditure survey/budget survey (ES/BS), 2008",Yes,2010,2009,2012,2010
HTI,Haiti,Republic of Haiti,HT,Haitian gourde,Latin America & Caribbean,Low income,HT,1986/87,2005,Value added at basic prices (VAB),IDA,HIPC,Country uses the 1968 System of National Accounts methodology.,1991,Rolling,"IMF Balance of Payments Manual, 6th edition.",Actual,General trade system,Consolidated central government,General Data Dissemination System (GDDS),2003,"HIV/Maternal and Child Health (HIV/MCH) Service Provision Assessments (SPA), 2013","Integrated household survey (IHS), 2001",Yes,2008/ 2009,2009,1997,2000
HUN,Hungary,Hungary,HU,Hungarian forint,Europe & Central Asia,Upper middle income,HU,Original chained constant price data are rescaled.,2005,Value added at basic prices (VAB),IBRD,Euro area,Country uses the 1993 System of National Accounts methodology.,1980–2002,Rolling,"IMF Balance of Payments Manual, 6th edition.",Actual,Special trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),2011,"World Health Survey (WHS), 2003","Expenditure survey/budget survey (ES/BS), 2007",Yes,2010,2009,2012,2007
IDN,Indonesia,Republic of Indonesia,ID,Indonesian rupiah,East Asia & Pacific,Lower middle income,ID,2000,2000,Value added at producer prices (VAP),IBRD,Euro area,Country uses the 1993 System of National Accounts methodology.,1980–2002,2005,"IMF Balance of Payments Manual, 6th edition.",Actual,Special trade system,Budgetary central government,Special Data Dissemination Standard (SDDS),2010,"Demographic and Health Survey (DHS), 2012","Integrated household survey (IHS), 2013",Yes,2013,2009,2012,2000
IMN,Isle of Man,Isle of Man,IM,Pound sterling,Europe & Central Asia,High income: nonOECD,IM,2003,2000,Value added at basic prices (VAB),IBRD,Euro area,Country uses the 1968 System of National Accounts methodology.,1980–2002,2005,"IMF Balance of Payments Manual, 6th edition.",Actual,General trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),2011,"Demographic and Health Survey (DHS), 2005/06","Integrated household survey (IHS), 2012",Yes,2011,2009,2012,2010
IND,India,Republic of India,IN,Indian rupee,South Asia,Lower middle income,IN,2004/05,2000,Value added at basic prices (VAB),IBRD,Euro area,Country uses the 1993 System of National Accounts methodology.,1980–2002,2005,"IMF Balance of Payments Manual, 6th edition.",Actual,General trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),2011,"Demographic and Health Survey (DHS), 2005/06","Integrated household survey (IHS), 2012",Yes,2011,2009,2012,2010
IRL,Ireland,Ireland,IE,Euro,Europe & Central Asia,High income: OECD,IE,2005,2000,Value added at basic prices (VAB),IBRD,Euro area,Country uses the 1993 System of National Accounts methodology.,1980–2002,Rolling,"IMF Balance of Payments Manual, 6th edition.",Actual,General trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),2011,"Demographic and Health Survey (DHS), 2000","Integrated household survey (IHS), 2000",Yes,2010,2009,2012,1979
IRN,Iran,Islamic Republic of Iran,IR,Iranian rial,Middle East & North Africa,Upper middle income,IR,1997/98,2000,Value added at basic prices (VAB),IBRD,Euro area,Country uses the 1993 System of National Accounts methodology.,1980–2002,2005,"IMF Balance of Payments Manual, 6th edition.",Actual,Special trade system,Consolidated central government,General Data Dissemination System (GDDS),2011,"Demographic and Health Survey (DHS), 2000","Expenditure survey/budget survey (ES/BS), 2005",Yes,2013,2009,2011,2004
IRQ,Iraq,Republic of Iraq,IQ,Iraqi dinar,Middle East & North Africa,Upper middle income,IQ,1988,2000,Value added at producer prices (VAP),IBRD,Euro area,Country uses the 1968 System of National Accounts methodology.,"1997, 2004",2005,"IMF Balance of Payments Manual, 6th edition.",Actual,General trade system,Consolidated central government,General Data Dissemination System (GDDS),1997,"Multiple Indicator Cluster Survey (MICS), 2011","Integrated household survey (IHS), 2007",Yes,2011/2012,2005,2012,2000
ISL,Iceland,Republic of Iceland,IS,Iceland krona,Europe & Central Asia,High income: OECD,IS,2005,2000,Value added at basic prices (VAB),IBRD,Euro area,Country uses the 1993 System of National Accounts methodology.,1987–95,Rolling,"IMF Balance of Payments Manual, 6th edition.",Actual,General trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),2011,"Multiple Indicator Cluster Survey (MICS), 2011","Expenditure survey/budget survey (ES/BS), 2001",Yes,2010,2005,2012,2005
ISR,Israel,State of Israel,IL,Israeli new shekel,Middle East & North Africa,High income: OECD,IL,2005,2000,Value added at producer prices (VAP),IBRD,Euro area,Country uses the 1993 System of National Accounts methodology.,1987–95,2011,"IMF Balance of Payments Manual, 6th edition.",Actual,Special trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),2009,"Multiple Indicator Cluster Survey (MICS), 2011","Expenditure survey/budget survey (ES/BS), 2001",Yes,2010,2009,2012,2004
ITA,Italy,Italian Republic,IT,Euro,Europe & Central Asia,High income: OECD,IT,2005,2000,Value added at basic prices (VAB),IBRD,Euro area,Country uses the 1993 System of National Accounts methodology.,1987–95,Rolling,"IMF Balance of Payments Manual, 6th edition.",Actual,Special trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),2012,"Multiple Indicator Cluster Survey (MICS), 2011","Expenditure survey/budget survey (ES/BS), 2000",Yes,2010,2009,2012,2000
JAM,Jamaica,Jamaica,JM,Jamaican dollar,Latin America & Caribbean,Upper middle income,JM,2007,2000,Value added at basic prices (VAB),IBRD,HIPC,Country uses the 1993 System of National Accounts methodology.,1987–95,2005,"IMF Balance of Payments Manual, 6th edition.",Actual,General trade system,Consolidated central government,General Data Dissemination System (GDDS),2011,"Multiple Indicator Cluster Survey (MICS), 2011","Living Standards Measurement Study Survey (LSMS), 2010",Yes,2007,2010,2012,1993
JOR,Jordan,Hashemite Kingdom of Jordan,JO,Jordanian dinar,Middle East & North Africa,Upper middle income,JO,1994,2000,Value added at basic prices (VAB),IBRD,HIPC,Country uses the 1968 System of National Accounts methodology.,1987–95,2005,"IMF Balance of Payments Manual, 6th edition.",Actual,General trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),2004,"Demographic and Health Survey (DHS), 2012","Expenditure survey/budget survey (ES/BS), 2010",Yes,2007,2010,2012,2005
JPN,Japan,Japan,JP,Japanese yen,East Asia & Pacific,High income: OECD,JP,2005,2000,Value added at basic prices (VAB),IBRD,HIPC,Country uses the 1993 System of National Accounts methodology.,1987–95,2011,"IMF Balance of Payments Manual, 6th edition.",Actual,General trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),2010,"Multiple Indicator Cluster Survey (MICS), 2010/11","Income survey (IS), 1993",Yes,2010,2010,2012,2001
KAZ,Kazakhstan,Republic of Kazakhstan,KZ,Kazakh tenge,Europe & Central Asia,Upper middle income,KZ,Original chained constant price data are rescaled.,2000,Value added at basic prices (VAB),IBRD,HIPC,Country uses the 1993 System of National Accounts methodology.,1987–95,2005,"IMF Balance of Payments Manual, 6th edition.",Actual,General trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),2009,"Multiple Indicator Cluster Survey (MICS), 2010/11","Expenditure survey/budget survey (ES/BS), 2012",Yes,2009. Population and Housing Census.,2010,2012,2010
KEN,Kenya,Republic of Kenya,KE,Kenyan shilling,Sub-Saharan Africa,Low income,KE,2001,1995,Value added at basic prices (VAB),IDA,HIPC,Country uses the 1993 System of National Accounts methodology.,1990–95,2005,"IMF Balance of Payments Manual, 6th edition.",Actual,General trade system,Budgetary central government,General Data Dissemination System (GDDS),2009,"Malaria Indicator Survey (MIS), 2010; HIV/Maternal and Child Health (HIV/MCH) Service Provision Assessments (SPA), 2010","Integrated household survey (IHS), 2005/06",Yes,2009. Population and Housing Census.,2010,2010,2003
KGZ,Kyrgyz Republic,Kyrgyz Republic,KG,Kyrgyz som,Europe & Central Asia,Lower middle income,KG,Original chained constant price data are rescaled.,1995,Value added at basic prices (VAB),IDA,HIPC,Country uses the 1993 System of National Accounts methodology.,1990–95,2005,"IMF Balance of Payments Manual, 6th edition.",Actual,Special trade system,Budgetary central government,Special Data Dissemination Standard (SDDS),2009,"Demographic and Health Survey (DHS), 2012","Expenditure survey/budget survey (ES/BS), 2012",Yes,2014,2010,2012,2006
KHM,Cambodia,Kingdom of Cambodia,KH,Cambodian riel,East Asia & Pacific,Low income,KH,2000,2005,Value added at basic prices (VAB),IDA,HIPC,Country uses the 1993 System of National Accounts methodology.,1986,2005,"IMF Balance of Payments Manual, 6th edition.",Actual,Special trade system,Budgetary central government,General Data Dissemination System (GDDS),2008,"Demographic and Health Survey (DHS), 2010","Integrated household survey (IHS), 2011",Yes,2013,2000,2012,2006
KIR,Kiribati,Republic of Kiribati,KI,Australian dollar,East Asia & Pacific,Lower middle income,KI,2006,2005,Value added at basic prices (VAB),IDA,HIPC,Country uses the 1993 System of National Accounts methodology.,1986,2011,"IMF Balance of Payments Manual, 6th edition.",Preliminary,General trade system,Budgetary central government,General Data Dissemination System (GDDS),2010,"Family Health Survey (FHS), 1996","Expenditure survey/budget survey (ES/BS), 1998",Yes,2010,2008,2012,2002
KNA,St. Kitts and Nevis,St. Kitts and Nevis,KN,East Caribbean dollar,Latin America & Caribbean,High income: nonOECD,KN,2006,2005,Value added at basic prices (VAB),IBRD,HIPC,Country uses the 1993 System of National Accounts methodology.,1986,2011,"IMF Balance of Payments Manual, 6th edition.",Preliminary,Special trade system,Budgetary central government,General Data Dissemination System (GDDS),2011,"Family Health Survey (FHS), 1996","Expenditure survey/budget survey (ES/BS), 1998",Yes,2010,2008,2011,2002
KOR,Korea,Republic of Korea,KR,Korean won,East Asia & Pacific,High income: OECD,KR,2010,2005,Value added at basic prices (VAB),IBRD,HIPC,Country uses the 1993 System of National Accounts methodology.,1986,2011,"IMF Balance of Payments Manual, 6th edition.",Preliminary,General trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),2010,"Family Health Survey (FHS), 1996","Expenditure survey/budget survey (ES/BS), 1998",Yes,2010,2008,2012,2002
KWT,Kuwait,State of Kuwait,KW,Kuwaiti dinar,Middle East & North Africa,High income: nonOECD,KW,1995,2005,Value added at producer prices (VAP),IDA,HIPC,Country uses the 1968 System of National Accounts methodology.,1986,2005,"IMF Balance of Payments Manual, 6th edition.",Preliminary,Special trade system,Budgetary central government,General Data Dissemination System (GDDS),2011,"Family Health Survey (FHS), 1996","Expenditure survey/budget survey (ES/BS), 2008",Yes,2010/11,2010,2009,2002
LAC,Latin America & Caribbean (developing only),Latin America & Caribbean (developing only),XJ,Lao kip,East Asia & Pacific,Lower middle income,XJ,2002,2005,Value added at basic prices (VAB),IDA,HIPC,Country uses the 1993 System of National Accounts methodology.,1986,2005,"IMF Balance of Payments Manual, 6th edition.",Preliminary,Special trade system,Budgetary central government,General Data Dissemination System (GDDS),2005,"Multiple Indicator Cluster Survey (MICS), 2011/12","Expenditure survey/budget survey (ES/BS), 2008",Yes,2010/11,2007,2012,2005
LAO,Lao PDR,Lao People's Democratic Republic,LA,Lao kip,East Asia & Pacific,Lower middle income,LA,2002,2005,Value added at basic prices (VAB),IDA,HIPC,Country uses the 1993 System of National Accounts methodology.,1986,2005,"IMF Balance of Payments Manual, 6th edition.",Preliminary,Special trade system,Budgetary central government,General Data Dissemination System (GDDS),2005,"Multiple Indicator Cluster Survey (MICS), 2011/12","Expenditure survey/budget survey (ES/BS), 2008",Yes,2010/11,2007,2012,2005
LBN,Lebanon,Lebanese Republic,LB,Lebanese pound,Middle East & North Africa,Upper middle income,LB,1997,2005,Value added at basic prices (VAB),IBRD,HIPC,Country uses the 1993 System of National Accounts methodology.,1986,2005,"IMF Balance of Payments Manual, 6th edition.",Actual,General trade system,Budgetary central government,General Data Dissemination System (GDDS),1970,"Multiple Indicator Cluster Survey (MICS), 2000","Core Welfare Indicator Questionnaire Survey (CWIQ), 2007",Yes,2011,2007,2012,2005
